engine,model,input_len,output_len,duration_s,req_per_s,output_tok_per_s,total_tok_per_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms
python,Qwen/Qwen2.5-14B-Instruct,32,128,18.43,27.13,3472.86,4341.07,5514.62,1649.63,10644.94,65.70,66.40,68.74,65.70,61.35,296.06
python,Qwen/Qwen2.5-14B-Instruct,32,256,40.95,12.21,3125.83,3516.56,10543.25,1679.38,22577.60,69.24,68.19,85.63,69.24,65.98,109.26
python,Qwen/Qwen2.5-14B-Instruct,32,512,114.21,4.38,2241.52,2381.62,26110.13,1708.39,68904.80,89.74,88.07,133.62,89.74,68.47,312.84
python,Qwen/Qwen2.5-14B-Instruct,32,1024,360.30,1.39,1421.03,1465.44,73751.73,1658.58,189162.74,132.41,128.96,202.83,132.41,65.87,225.11
python,Qwen/Qwen2.5-14B-Instruct,128,128,27.29,18.32,2345.05,4690.11,9500.03,5565.93,18715.92,90.57,97.07,100.01,90.57,68.21,325.92
python,Qwen/Qwen2.5-14B-Instruct,128,256,64.54,7.75,1983.35,2975.03,16511.40,5585.87,40638.93,94.54,90.38,142.18,94.54,70.35,324.42
python,Qwen/Qwen2.5-14B-Instruct,128,512,146.45,3.41,1748.09,2185.11,37625.56,5502.37,85751.25,105.19,102.89,157.99,105.19,68.24,315.95
python,Qwen/Qwen2.5-14B-Instruct,128,1024,419.60,1.19,1220.20,1372.72,103312.99,5586.93,272203.86,131.24,124.49,232.62,131.24,65.71,222.37
python,Qwen/Qwen2.5-14B-Instruct,512,128,80.96,6.18,790.56,3952.80,35293.68,36886.84,73686.57,119.89,123.06,183.94,119.89,65.82,333.47
python,Qwen/Qwen2.5-14B-Instruct,512,256,138.56,3.61,923.79,2771.37,55254.17,56258.25,112170.58,99.62,93.67,161.44,99.62,65.67,328.49
python,Qwen/Qwen2.5-14B-Instruct,512,512,274.65,1.82,932.08,1864.17,105084.79,93855.81,222249.04,94.71,80.60,150.64,94.71,65.35,326.37
python,Qwen/Qwen2.5-14B-Instruct,512,1024,633.08,0.79,808.74,1213.11,242445.85,220795.80,514174.36,98.85,95.94,173.93,98.85,63.23,322.08
python,Qwen/Qwen2.5-14B-Instruct,1024,128,144.48,3.46,442.96,3986.64,67746.18,69135.55,136693.94,118.71,120.25,168.00,118.71,62.79,331.68
python,Qwen/Qwen2.5-14B-Instruct,1024,256,236.67,2.11,540.85,2704.24,105080.17,104816.19,208891.29,94.45,91.51,151.86,94.45,62.81,332.38
python,Qwen/Qwen2.5-14B-Instruct,1024,512,434.05,1.15,589.80,1769.39,187832.41,173427.71,378419.01,84.88,76.40,140.65,84.88,62.38,330.18
python,Qwen/Qwen2.5-14B-Instruct,1024,1024,931.55,0.54,549.62,1099.25,400716.94,378277.75,823050.18,86.66,71.03,135.96,86.66,61.57,328.01
rust,Qwen/Qwen2.5-14B-Instruct,32,128,18.17,27.51,3521.45,4401.81,5211.20,1514.36,10405.44,65.78,66.97,67.99,65.78,61.28,186.13
rust,Qwen/Qwen2.5-14B-Instruct,32,256,45.88,10.90,2790.05,3138.80,9966.02,1510.69,23875.61,71.41,70.30,97.23,71.41,66.79,182.24
rust,Qwen/Qwen2.5-14B-Instruct,32,512,133.32,3.75,1920.22,2040.23,28730.68,1545.53,78000.91,95.43,72.76,175.64,95.43,71.10,182.82
rust,Qwen/Qwen2.5-14B-Instruct,32,1024,616.34,0.81,830.71,856.67,115893.63,1600.83,377001.98,203.00,194.01,361.21,203.00,147.80,197.44
rust,Qwen/Qwen2.5-14B-Instruct,128,128,23.93,20.89,2674.17,5348.35,7993.08,4717.07,15751.49,80.81,85.70,88.82,80.81,65.68,193.40
rust,Qwen/Qwen2.5-14B-Instruct,128,256,66.80,7.49,1916.20,2874.30,13916.07,4661.27,39581.04,85.18,80.50,148.16,85.18,71.04,194.31
rust,Qwen/Qwen2.5-14B-Instruct,128,512,144.39,3.46,1772.97,2216.21,33089.05,4525.63,83690.68,104.57,76.81,193.38,104.57,72.11,201.30
rust,Qwen/Qwen2.5-14B-Instruct,128,1024,601.69,0.83,850.93,957.30,138332.56,4542.87,405047.16,181.91,183.32,334.11,181.91,147.68,216.44
rust,Qwen/Qwen2.5-14B-Instruct,512,128,39.03,12.81,1639.68,8198.41,15821.19,17486.92,31962.48,98.24,101.56,192.61,98.24,69.95,200.67
rust,Qwen/Qwen2.5-14B-Instruct,512,256,77.40,6.46,1653.73,4961.18,26483.31,28386.05,54966.27,88.25,81.78,211.07,88.25,70.10,209.55
rust,Qwen/Qwen2.5-14B-Instruct,512,512,155.57,3.21,1645.52,3291.03,47752.96,46731.72,93693.97,97.85,78.90,220.12,97.85,72.08,298.15
rust,Qwen/Qwen2.5-14B-Instruct,512,1024,535.55,0.93,956.02,1434.04,186597.30,202333.08,341778.56,126.60,123.73,244.02,126.60,74.49,224.99
rust,Qwen/Qwen2.5-14B-Instruct,1024,128,45.92,10.89,1393.62,12542.62,20838.51,20849.48,37815.61,100.80,103.17,137.43,100.80,73.79,207.11
rust,Qwen/Qwen2.5-14B-Instruct,1024,256,86.70,5.77,1476.40,7382.00,37352.92,46635.69,72444.82,87.49,83.49,139.77,87.49,74.81,198.81
rust,Qwen/Qwen2.5-14B-Instruct,1024,512,142.67,3.50,1794.39,5383.18,52137.87,45662.91,97315.88,88.98,82.05,204.68,88.98,74.14,205.74
rust,Qwen/Qwen2.5-14B-Instruct,1024,1024,416.48,1.20,1229.34,2458.67,155363.40,150435.36,323907.53,102.86,90.63,201.68,102.86,78.77,207.44
