engine,model,variant,iter,startup_s
python,Qwen2.5-14B-Instruct,cold,1,60.2298
python,Qwen2.5-14B-Instruct,cold,2,61.8171
python,Qwen2.5-14B-Instruct,cold,3,61.6677
python,Qwen2.5-14B-Instruct,cold,4,61.8644
python,Qwen2.5-14B-Instruct,cold,5,61.4258
python,Qwen2.5-14B-Instruct,cold,6,61.9761
python,Qwen2.5-14B-Instruct,cold,7,62.6769
python,Qwen2.5-14B-Instruct,cold,8,62.1935
python,Qwen2.5-14B-Instruct,cold,9,62.3941
python,Qwen2.5-14B-Instruct,cold,10,61.7989
python,Qwen2.5-14B-Instruct,cold,11,62.2689
python,Qwen2.5-14B-Instruct,cold,12,61.9742
python,Qwen2.5-14B-Instruct,cold,13,62.1747
python,Qwen2.5-14B-Instruct,cold,14,62.2203
python,Qwen2.5-14B-Instruct,cold,15,61.9916
python,Qwen2.5-14B-Instruct,cold,16,61.6345
python,Qwen2.5-14B-Instruct,cold,17,63.0838
python,Qwen2.5-14B-Instruct,cold,18,61.4917
python,Qwen2.5-14B-Instruct,cold,19,62.0160
python,Qwen2.5-14B-Instruct,cold,20,61.8525
python,Qwen2.5-14B-Instruct,cold,21,61.7458
python,Qwen2.5-14B-Instruct,cold,22,61.4259
python,Qwen2.5-14B-Instruct,cold,23,61.9215
python,Qwen2.5-14B-Instruct,cold,24,61.8824
python,Qwen2.5-14B-Instruct,cold,25,62.3591
python,Qwen2.5-14B-Instruct,cold,26,61.3846
python,Qwen2.5-14B-Instruct,cold,27,61.3707
python,Qwen2.5-14B-Instruct,cold,28,62.4448
python,Qwen2.5-14B-Instruct,cold,29,62.0355
python,Qwen2.5-14B-Instruct,cold,30,61.6192
python,Qwen2.5-14B-Instruct,cold,31,61.4269
python,Qwen2.5-14B-Instruct,cold,32,62.1720
python,Qwen2.5-14B-Instruct,cold,33,61.5396
python,Qwen2.5-14B-Instruct,cold,34,61.3473
python,Qwen2.5-14B-Instruct,cold,35,61.6308
python,Qwen2.5-14B-Instruct,cold,36,61.4578
python,Qwen2.5-14B-Instruct,cold,37,62.4789
python,Qwen2.5-14B-Instruct,cold,38,62.0192
python,Qwen2.5-14B-Instruct,cold,39,61.9377
python,Qwen2.5-14B-Instruct,cold,40,61.4018
python,Qwen2.5-14B-Instruct,cold,41,61.5271
python,Qwen2.5-14B-Instruct,cold,42,62.3343
python,Qwen2.5-14B-Instruct,cold,43,61.6468
python,Qwen2.5-14B-Instruct,cold,44,62.2539
python,Qwen2.5-14B-Instruct,cold,45,62.0418
python,Qwen2.5-14B-Instruct,cold,46,61.6553
python,Qwen2.5-14B-Instruct,cold,47,61.5340
python,Qwen2.5-14B-Instruct,cold,48,61.9892
python,Qwen2.5-14B-Instruct,cold,49,62.4651
python,Qwen2.5-14B-Instruct,cold,50,61.4294
python,Qwen2.5-14B-Instruct,cold,51,62.3846
python,Qwen2.5-14B-Instruct,cold,52,63.1865
python,Qwen2.5-14B-Instruct,cold,53,61.6533
python,Qwen2.5-14B-Instruct,cold,54,61.5754
python,Qwen2.5-14B-Instruct,cold,55,61.8632
python,Qwen2.5-14B-Instruct,cold,56,61.8577
python,Qwen2.5-14B-Instruct,cold,57,61.6459
python,Qwen2.5-14B-Instruct,cold,58,62.0753
python,Qwen2.5-14B-Instruct,cold,59,62.1488
python,Qwen2.5-14B-Instruct,cold,60,62.1122
python,Qwen2.5-14B-Instruct,cold,61,62.0741
python,Qwen2.5-14B-Instruct,cold,62,61.8926
python,Qwen2.5-14B-Instruct,cold,63,62.6872
python,Qwen2.5-14B-Instruct,cold,64,61.3662
python,Qwen2.5-14B-Instruct,cold,65,61.2986
python,Qwen2.5-14B-Instruct,cold,66,61.1428
python,Qwen2.5-14B-Instruct,cold,67,61.7366
python,Qwen2.5-14B-Instruct,cold,68,61.7040
python,Qwen2.5-14B-Instruct,cold,69,61.6186
python,Qwen2.5-14B-Instruct,cold,70,61.5835
python,Qwen2.5-14B-Instruct,cold,71,61.2240
python,Qwen2.5-14B-Instruct,cold,72,61.5192
python,Qwen2.5-14B-Instruct,cold,73,61.9489
python,Qwen2.5-14B-Instruct,cold,74,61.5537
python,Qwen2.5-14B-Instruct,cold,75,62.1370
python,Qwen2.5-14B-Instruct,cold,76,62.0773
python,Qwen2.5-14B-Instruct,cold,77,62.5029
python,Qwen2.5-14B-Instruct,cold,78,62.4367
python,Qwen2.5-14B-Instruct,cold,79,61.7265
python,Qwen2.5-14B-Instruct,cold,80,61.9017
python,Qwen2.5-14B-Instruct,cold,81,62.2361
python,Qwen2.5-14B-Instruct,cold,82,61.3846
python,Qwen2.5-14B-Instruct,cold,83,61.5082
python,Qwen2.5-14B-Instruct,cold,84,62.0337
python,Qwen2.5-14B-Instruct,cold,85,62.7955
python,Qwen2.5-14B-Instruct,cold,86,61.6559
python,Qwen2.5-14B-Instruct,cold,87,62.0862
python,Qwen2.5-14B-Instruct,cold,88,61.3419
python,Qwen2.5-14B-Instruct,cold,89,62.5509
python,Qwen2.5-14B-Instruct,cold,90,61.6749
python,Qwen2.5-14B-Instruct,cold,91,61.6260
python,Qwen2.5-14B-Instruct,cold,92,61.6122
python,Qwen2.5-14B-Instruct,cold,93,61.4096
python,Qwen2.5-14B-Instruct,cold,94,62.1979
python,Qwen2.5-14B-Instruct,cold,95,61.6907
python,Qwen2.5-14B-Instruct,cold,96,62.1184
python,Qwen2.5-14B-Instruct,cold,97,60.5885
python,Qwen2.5-14B-Instruct,cold,98,62.1365
python,Qwen2.5-14B-Instruct,cold,99,61.7389
python,Qwen2.5-14B-Instruct,cold,100,61.7629
